full_formula,task_id,formation_energy_per_atom
K8F24,mp-867934,-1.6555031428925
K4Sn4Se10,mp-8966,-0.7274422576631944
K1Li6Ta1O6,mp-9059,-2.506708819321429
Li2B2C2,mp-9244,-0.37630289513888826
Rb1Er1S2,mp-9367,-2.172589535867458
Na2Cr1H2F8,mp-973225,-2.5996132265969227
Ba6Na2Ru2O12,mp-9745,-2.461551263363637
Pr1Mg1Ag2,mp-975892,-0.2827370795833333
Ge12Ir8Se12,mp-975924,-0.46626317541015627
Ho6Co1Te2,mp-976064,-0.6615335911111112
La1Al8Fe4,mp-977054,-0.38621681288461546
Ta2Fe1Mo1,mp-979267,-0.1616754199999999
Yb1Dy1Pd2,mp-980384,-0.8899668775
Tm1Al1Ag2,mp-980426,-0.3306584158333332
Yb4B16Ru4,mp-982045,-0.4836495998611123
Ho2Ga4Pd2,mp-982511,-0.8017054737499993
Er4Cr4B16,mp-985700,-0.6881150861111109
Hf10Zn2Sb6,mp-9952,-0.49324849111111113
Ag2H2O4,mp-996958,-0.7843093844466669
Nd1Tl1Te2,mp-999319,-1.0762606993750001
Ca4V4O12,mvc-13158,-2.946319806750001
Mg1Mo1F6,mvc-13940,-3.2384210808925
Zn2Co2F10,mvc-14327,-2.367589618707143
Ca4Co2N4,mvc-15272,-0.7929361929519999
Ca4Ni4F20,mvc-3744,-2.837953290492858
Ca4Fe2Ir2O12,mvc-5784,-2.302074429750001
Sm2In1Hg1,mp-1005693,-0.4751648845833336
Eu2In2Ni10,mp-1006242,-0.1867089397619048
Be2Si2As4,mp-1009087,-0.21803253125000044
V10Si2B4,mp-10126,-0.6945207066666672
V1N1,mp-1018027,-1.35452090119
Lu4Mg2Se8,mp-10191,-1.6829899191964282
Eu6Al2O10,mp-1019729,-3.338869727638889
Rb8Li12B4P16O56,mp-1020705,-2.7550768061844906
Na1Y1S2,mp-10226,-2.17830362315625
In1Si1Pt5,mp-1025370,-0.5372614911904766
Sr1Co2Si2,mp-1069057,-0.5252510220000005
Pr1Al3Cu1,mp-1069825,-0.46990141100000005
Ba1Si3Pd1,mp-1070137,-0.4771590009999997
Tb1Cu4Ag1,mp-1072264,-0.2172443394444444
Na3P1Se4,mp-1078419,-0.7409947737522327
Sr2Ca1W1O6,mp-1078671,-3.04193378075
Nd3Al3Ni3,mp-1078757,-0.5112899525000003
Y4In2Cu4,mp-1079508,-0.3898958356666668
K4As4Pt2,mp-1079513,-0.5073910221999995
Ce2Sb4Au2,mp-1079698,-0.7044530374999995
Ti6Pd2,mp-1079796,-0.3404652337499998
Yb4Au4,mp-1084808,-0.9552481549999996
Er2B4C4,mp-10856,-0.442705419166667
Zr3Ge3Os3,mp-1091395,-0.6215940600000004
Dy3Si3Ag3,mp-1095130,-0.5955183972222223
Tm2Si2O7,mp-1095467,-3.7353274337500006
Nd4Al4Au4,mp-1101773,-0.7392614399999999
Sn8Rh4,mp-1103044,-0.41462035249999946
Er4Ni4P4,mp-1103423,-1.2210249815476193
Sr12Hg4,mp-1105844,-0.28292832312499994
Na2Fe2S2O8F2,mp-1105952,-2.3125741968440625
K2Li1Sc1F6,mp-1111110,-3.620639137814
